Jurisdictions,Effective Date,Valid Through Date,Bans_Prohibit,_citation_Bans_Prohibit,_caution_Bans_Prohibit,Prohibit_Req,_citation_Prohibit_Req,_caution_Prohibit_Req,Prohibit_When,_citation_Prohibit_When,_caution_Prohibit_When,Prohibit_Exc,_citation_Prohibit_Exc,_caution_Prohibit_Exc,Exc_Req,_citation_Exc_Req,_caution_Exc_Req,Reason_Prohibit,_citation_Reason_Prohibit,_caution_Reason_Prohibit,Reason_What,_citation_Reason_What,_caution_Reason_What,Methods_Prohibit,_citation_Methods_Prohibit,_caution_Methods_Prohibit,Methods_Proced,_citation_Methods_Proced,_caution_Methods_Proced,Methods_Exc,_citation_Methods_Exc,_caution_Methods_Exc,Limited_Law,_citation_Limited_Law,_caution_Limited_Law,Limited_Court,_citation_Limited_Court,_caution_Limited_Court,Limited_AG,_citation_Limited_AG,_caution_Limited_AG
North Dakota,4/16/2014,12/1/2018,1,"Post-viability ban - N.D. Cent. Code § 14-02.1-04 (3) ( Full Title: N.D. Cent. Code § 14-02.1-04. Limitations on the performance of abortions—Penalty.), Partial-birth ban - N.D. Cent. Code § 14-02.6-02 (1) ( Full Title: N.D. Cent. Code § 14-02.6-02. Prohibition--Penalty—Exception.), 20 weeks postfertilization - N.D. Cent. Code § 14-02.1-05.3 (3) ( Full Title: N.D. Cent. Code § 14-02.1-05.3. Determination of postfertilization age--Abortion of unborn child of twenty or more weeks postfertilization age prohibited.), Ban after heartbeat - N.D. Cent. Code § 14-02.1-05.2 (1) ( Full Title: N.D. Cent. Code § 14-02.1-05.2. Abortion after detectable heartbeat in unborn child prohibited--Exception—Penalty.)",,1,20 weeks postfertilization - N.D. Cent. Code § 14-02.1-05.3 (3) ( Full Title: N.D. Cent. Code § 14-02.1-05.3. Determination of postfertilization age--Abortion of unborn child of twenty or more weeks postfertilization age prohibited.),,20 weeks postfertilization (22 weeks LMP),20 weeks postfertilization - N.D. Cent. Code § 14-02.1-05.3 (3) ( Full Title: N.D. Cent. Code § 14-02.1-05.3. Determination of postfertilization age--Abortion of unborn child of twenty or more weeks postfertilization age prohibited.),"There are three bans in North Dakota: a 20-week postfertilization ban (N.D. Cent. Code § 14-02.1-05.3 (3)); a post-viability ban (N.D. Cent. Code § 14-02.1-04 (3)); and a ban on a fetus whose heartbeat has been detected (N.D. Cent. Code § 14-02.1-05.2 (1)). The ban on a fetus whose heartbeat has been detected was held unconstitutional. MKB Management Corp. v. Burdick, 16 F.Supp.3d 1059 (D.N.D. 2014) aff’d MKB Mgmt. Corp. v. Stenehjem, 795 F.3d 768 (8th Cir. 2015).","Life endangerment, Serious health risk","20 weeks postfertilization - N.D. Cent. Code § 14-02.1-05.3 (3) ( Full Title: N.D. Cent. Code § 14-02.1-05.3. Determination of postfertilization age--Abortion of unborn child of twenty or more weeks postfertilization age prohibited.), Medical emergency definition - N.D. Cent. Code § 14-02.1-02 (12) ( Full Title: N.D. Cent. Code § 14-02.1-02 Definitions.)",The exception for serious health risk is limited to physical health. N.D. Cent. Code § 14-02.1-02 (12).,No requirements,,,1,Ban on reason for abortion - N.D. Cent. Code § 14-02.1-04.1 (1) ( Full Title: N.D. Cent. Code § 14-02.1-04.1. Prohibition--Sex-selective abortion--Abortion for genetic abnormality—Penalty.),,"Sex, Fetal anomaly",Ban on reason for abortion - N.D. Cent. Code § 14-02.1-04.1 (1) ( Full Title: N.D. Cent. Code § 14-02.1-04.1. Prohibition--Sex-selective abortion--Abortion for genetic abnormality—Penalty.),,1,Partial-birth ban - N.D. Cent. Code § 14-02.6-02 (1) ( Full Title: N.D. Cent. Code § 14-02.6-02. Prohibition--Penalty—Exception.),,Partial-birth abortions,Partial-birth ban - N.D. Cent. Code § 14-02.6-02 (1) ( Full Title: N.D. Cent. Code § 14-02.6-02. Prohibition--Penalty—Exception.),,Life endangerment,Partial-birth ban exception - N.D. Cent. Code § 14-02.6-03 ( Full Title: N.D. Cent. Code § 14-02.6-03. Exception for life of mother.),,0,,,0,,,0,,
Ohio,3/23/2018,12/1/2018,1,20 week ban - Ohio Rev. Code. § 2919.201 ( Full Title: Ohio Rev. Code. § 2919.201. Termination or attempting to terminate pregnancy of pain-capable unborn child),,1,20 week ban - Ohio Rev. Code. § 2919.201 ( Full Title: Ohio Rev. Code. § 2919.201. Termination or attempting to terminate pregnancy of pain-capable unborn child),,20 weeks postfertilization (22 weeks LMP),"20 week ban - Ohio Rev. Code. § 2919.201 ( Full Title: Ohio Rev. Code. § 2919.201. Termination or attempting to terminate pregnancy of pain-capable unborn child), viability ban - Ohio Rev. Code. § 2919.17 ( Full Title: Ohio Rev. Code. § 2919.17. Terminating or attempting to terminate a human pregnancy after viability)","Ohio also bans abortion at viability, which includes a presumption that an unborn child of at least 24 weeks gestational age is viable. Ohio Rev. Code. § 2919.17(E).","Life endangerment, Serious health risk","exceptions - Ohio Rev. Code. § 2919.201 ( Full Title: Ohio Rev. Code. § 2919.201. Termination or attempting to terminate pregnancy of pain-capable unborn child), major bodily function means - Ohio Rev. Code. § 2919.20. Definitions for RC 2919.20 through RC 2919.204 ( Full Title: Ohio Rev. Code. § 2919.20. Definitions for RC 2919.20 through RC 2919.204)",Exception for serious health risk is for physical health only.  Ohio Rev. Code. § 2919.18(H).,"Must be performed in a hospital, Must use a method most likely to result in fetal survival, Second physician must certify the exception, Second physician must attend the abortion",physicians reasonable medical judgment - Ohio Rev. Code. § 2919.201 ( Full Title: Ohio Rev. Code. § 2919.201. Termination or attempting to terminate pregnancy of pain-capable unborn child),,1,down syndrome reason - Ohio Rev. Code. § 2919.10 ( Full Title: Ohio Rev. Code. § 2919.10. Performing or attempting to perform an abortion that was being sought because of down syndrome),,Down syndrome,down syndrome reason - Ohio Rev. Code. § 2919.10 ( Full Title: Ohio Rev. Code. § 2919.10. Performing or attempting to perform an abortion that was being sought because of down syndrome),,1,partial birth procedure - Ohio Rev. Code. § 2919.151 ( Full Title: Ohio Rev. Code. § 2919.151. Partial birth feticide),,Partial-birth abortions,partial birth procedure - Ohio Rev. Code. § 2919.151 ( Full Title: Ohio Rev. Code. § 2919.151. Partial birth feticide),,"Life endangerment, Serious health risk","partial birth procedure - Ohio Rev. Code. § 2919.151 ( Full Title: Ohio Rev. Code. § 2919.151. Partial birth feticide), major bodily function means - Ohio Rev. Code. § 2919.16 ( Full Title: Ohio Rev. Code. § 2919.16. Definitions)",Exception for serious health risk is for physical health only. Ohio Rev. Code. § 2919.16(K).,1,"prerterm-cleveland - Prerterm-Cleveland v... ( Full Title: Prerterm-Cleveland v. Himes, S.D. Ohio)",,1,"prerterm-cleveland - Prerterm-Cleveland v... ( Full Title: Prerterm-Cleveland v. Himes, S.D. Ohio)","The court called into doubt the validity of Ohio's ban on reason-based abortions based on a down syndrome diagnosis, and issued a preliminary injunction. Prerterm-Cleveland v. Himes, S.D. Ohio.",0,,
Oklahoma,11/1/2017,12/1/2018,1,"20 week ban - Okla. Stat. tit. 63, § 1-745.5 (A) ( Full Title: Okla. Stat. tit. 63, § 1-745.5. Abortions prohibited when probable postfertilization age of unborn child is 20 or more weeks--Exceptions--Procedure for abortion.), Sex of fetus - Okla. Stat. tit. 63, § 1-731.2 (B) ( Full Title: Okla. Stat. tit. 63, § 1-731.2. Prohibiting certain abortions - Penalties.), Partial-birth ban - Okla. Stat. tit. 21, § 684 (A) ( Full Title: Okla. Stat. tit. 21, § 684. Performance of partial-birth abortion.), Dismemberment ban - Okla. Stat. tit. 63, § 1-737.9 (A) ( Full Title: Okla. Stat. tit. 63, § 1-737.9. Unlawful dismemberment abortions—Exceptions.)",,1,"20 week ban - Okla. Stat. tit. 63, § 1-745.5 (A) ( Full Title: Okla. Stat. tit. 63, § 1-745.5. Abortions prohibited when probable postfertilization age of unborn child is 20 or more weeks--Exceptions--Procedure for abortion.)",,20 weeks postfertilization (22 weeks LMP),"20 week ban - Okla. Stat. tit. 63, § 1-745.5 (A) ( Full Title: Okla. Stat. tit. 63, § 1-745.5. Abortions prohibited when probable postfertilization age of unborn child is 20 or more weeks--Exceptions--Procedure for abortion.)","There are three bans in Oklahoma: a 20-week postfertilization ban (Okla. Stat. tit. 63, § 1-745.5 (A)); a post-viability ban (Okla. Stat. tit. 63, § 1-732 (A)); and a total ban (Okla. Stat. tit. 21, § 861). The total ban on abortion was held unconstitutional. Henrie v. Derryberry, 358 F.Supp. 719 (N.D. Okla. 1973).","Life endangerment, Serious health risk","20 week ban - Okla. Stat. tit. 63, § 1-745.5 (A) ( Full Title: Okla. Stat. tit. 63, § 1-745.5. Abortions prohibited when probable postfertilization age of unborn child is 20 or more weeks--Exceptions--Procedure for abortion.)","The exception for serious health risk is limited to physical health. Okla. Stat. tit. 63, § 1-745.5 (A).",Must use a method most likely to result in fetal survival,"20 weeks - fetal survival - Okla. Stat. tit. 63, § 1-745.5 (B) ( Full Title: Okla. Stat. tit. 63, § 1-745.5. Abortions prohibited when probable postfertilization age of unborn child is 20 or more weeks--Exceptions--Procedure for abortion.)",,1,"Sex of fetus - Okla. Stat. tit. 63, § 1-731.2 (B) ( Full Title: Okla. Stat. tit. 63, § 1-731.2. Prohibiting certain abortions - Penalties.)",,Sex,"Sex of fetus - Okla. Stat. tit. 63, § 1-731.2 (B) ( Full Title: Okla. Stat. tit. 63, § 1-731.2. Prohibiting certain abortions - Penalties.)",,1,"Partial-birth ban - Okla. Stat. tit. 21, § 684 (A) ( Full Title: Okla. Stat. tit. 21, § 684. Performance of partial-birth abortion.), Dismemberment ban - Okla. Stat. tit. 63, § 1-737.9 (A) ( Full Title: Okla. Stat. tit. 63, § 1-737.9. Unlawful dismemberment abortions—Exceptions.)",,"Partial-birth abortions, Dismemberment abortions","Partial-birth ban - Okla. Stat. tit. 21, § 684 (A) ( Full Title: Okla. Stat. tit. 21, § 684. Performance of partial-birth abortion.), Dismemberment ban - Okla. Stat. tit. 63, § 1-737.9 (A) ( Full Title: Okla. Stat. tit. 63, § 1-737.9. Unlawful dismemberment abortions—Exceptions.)",,"Life endangerment, Serious health risk","Partial-birth ban - Okla. Stat. tit. 21, § 684 (A) ( Full Title: Okla. Stat. tit. 21, § 684. Performance of partial-birth abortion.), Dismemberment ban - Okla. Stat. tit. 63, § 1-737.9 (A) ( Full Title: Okla. Stat. tit. 63, § 1-737.9. Unlawful dismemberment abortions—Exceptions.), Serious health risk - Okla. Stat. tit. 63, § 1-737.8 (6) ( Full Title: Okla. Stat. tit. 63, § 1-737.8. Definitions.)","The exception to the ban on partial-birth abortions is to save the life of a pregnant woman.  Okla. Stat. tit. 21, § 684 (A). The exception to the ban on dismemberment abortions is to prevent the death, or serious risk of physical impairment, to the pregnant woman. Okla. Stat. tit. 63, § 1-737.9 (A); Okla. Stat. tit. 63, § 1-737.8 (6).",0,,,0,,,0,,
Oregon,12/1/2018,12/1/2018,0,,,0,,,,,,,,,,,,0,,,,,,0,,,,,,,,,0,,,0,,,0,,
Pennsylvania,1/16/1990,12/1/2018,1,"Sex-selective abortion - 18 PA. Cons. Stat. §3204 (c) ( Full Title: 18 PA. Cons. Stat. § 3204. Medical consultation and judgment.), 24 week ban - 18 PA. Cons. Stat. § 3211 (a) ( Full Title: 18 PA. Cons. Stat. § 3211. Abortion on unborn child of 24 or more weeks gestational age.)",,1,24 week ban - 18 PA. Cons. Stat. § 3211 (a) ( Full Title: 18 PA. Cons. Stat. § 3211. Abortion on unborn child of 24 or more weeks gestational age.),,22 weeks postfertilization (24 weeks LMP),24 week ban - 18 PA. Cons. Stat. § 3211 (a) ( Full Title: 18 PA. Cons. Stat. § 3211. Abortion on unborn child of 24 or more weeks gestational age.),"There are two bans in Pennsylvania: a 24-week gestational age ban (18 PA. Cons. Stat. § 3211 (a)), and a post-viability (28 Pa. Code § 29.35 (a)).","Life endangerment, Serious health risk",24 week exception - 18 PA. Cons. Stat. § 3211 (b) ( Full Title: 18 PA. Cons. Stat. § 3211. Abortion on unborn child of 24 or more weeks gestational age.),,"Must be performed in a hospital, Must use a method most likely to result in fetal survival, Second physician must certify the exception, Second physician must attend the abortion","2nd physician certification - 18 PA. Cons. Stat. § 3211 (c) (2) ( Full Title: 18 PA. Cons. Stat. § 3211. Abortion on unborn child of 24 or more weeks gestational age.), Hospital requirement - 18 PA. Cons. Stat. § 3211 (c) (3) ( Full Title: 18 PA. Cons. Stat. § 3211. Abortion on unborn child of 24 or more weeks gestational age.), Fetal survival - 18 PA. Cons. Stat. § 3211 (c) (4) ( Full Title: 18 PA. Cons. Stat. § 3211. Abortion on unborn child of 24 or more weeks gestational age.), 2nd physician attendance - 18 PA. Cons. Stat. § 3211 (c) (5) ( Full Title: 18 PA. Cons. Stat. § 3211. Abortion on unborn child of 24 or more weeks gestational age.)",,1,"Abortion must be necessary - 18 PA. Cons. Stat. § 3204 (a) ( Full Title: 18 PA. Cons. Stat. § 3204. Medical consultation and judgment.), Sex-selective abortion - 18 PA. Cons. Stat. §3204 (c) ( Full Title: 18 PA. Cons. Stat. § 3204. Medical consultation and judgment.)",,Sex,Sex-selective abortion - 18 PA. Cons. Stat. §3204 (c) ( Full Title: 18 PA. Cons. Stat. § 3204. Medical consultation and judgment.),,0,,,,,,,,,0,,,0,,,0,,
Rhode Island,1/2/2002,12/1/2018,1,"3rd trimester ban - 31-1 R.I. Code R. 2:6.3.1 (D) ( Full Title: 31-1 R.I. Code R. 2:6.3. Requirements for Pregnancy Terminations), Partial-birth ban - R.I. Gen. § 23-4.12-2 ( Full Title: R.I. Gen. § 23-4.12-2. Prohibition of partial-birth abortions.)",,1,3rd trimester ban - 31-1 R.I. Code R. 2:6.3.1 (D) ( Full Title: 31-1 R.I. Code R. 2:6.3. Requirements for Pregnancy Terminations),,3rd trimester,3rd trimester ban - 31-1 R.I. Code R. 2:6.3.1 (D) ( Full Title: 31-1 R.I. Code R. 2:6.3. Requirements for Pregnancy Terminations),"There are two bans in Rhode Island: a 3rd trimester ban (216 R.I. Code R. 20-10-6.3.1 (D)), and a post-viability ban (R.I. Gen. 11-23-5 (a)).","Life endangerment, Health",3rd trimester ban - 31-1 R.I. Code R. 2:6.3.1 (D) ( Full Title: 31-1 R.I. Code R. 2:6.3. Requirements for Pregnancy Terminations),,No requirements,,,0,,,,,,1,Partial-birth ban - R.I. Gen. § 23-4.12-2 ( Full Title: R.I. Gen. § 23-4.12-2. Prohibition of partial-birth abortions.),,Partial-birth abortions,Partial-birth ban - R.I. Gen. § 23-4.12-2 ( Full Title: R.I. Gen. § 23-4.12-2. Prohibition of partial-birth abortions.),,Life endangerment,Partial-birth exception - R.I. Gen. § 23-4.12-3 ( Full Title: R.I. Gen. § 23-4.12-3. Life of the mother exception.),,1,"Partial-birth ban unconstitutional - Rhode Island Med. Soc. v. Whitehouse, 239 F.3d 104 (1st Cir. 2001) ( Full Title: Rhode Island Med. Soc. v. Whitehouse, 239 F.3d 104 (1st Cir. 2001))",,1,"Partial-birth ban unconstitutional - Rhode Island Med. Soc. v. Whitehouse, 239 F.3d 104 (1st Cir. 2001) ( Full Title: Rhode Island Med. Soc. v. Whitehouse, 239 F.3d 104 (1st Cir. 2001))","The First Circuit held that the statute banning partial birth abortions is unconstitutional. Rhode Island Med. Soc. v. Whitehouse, 239 F.3d 104 (1st Cir. 2001).",0,,
South Carolina,5/25/2016,12/1/2018,1,partial-birth abortion ban - S.C. Code. § 44-41-85 ( Full Title: S.C. Code. § 44-41-85. Performance of partial-birth abortion by physician; felony; cause of action against physician),,1,20 week ban - S.C. Code § 44-41-450 ( Full Title: S.C. Code § 44-41-450. Abortion prohibited when probable post-fertilization age of unborn child is twenty or more weeks; exceptions),,20 weeks postfertilization (22 weeks LMP),20 week ban - S.C. Code § 44-41-450 ( Full Title: S.C. Code § 44-41-450. Abortion prohibited when probable post-fertilization age of unborn child is twenty or more weeks; exceptions),,"Life endangerment, Serious health risk, Fetal anomaly",20 week ban - S.C. Code § 44-41-450 ( Full Title: S.C. Code § 44-41-450. Abortion prohibited when probable post-fertilization age of unborn child is twenty or more weeks; exceptions),Exception for serious health risk is for physical health only. S.C. Code § 44-41-450(A).,"Must be performed in a hospital, Must use a method most likely to result in fetal survival, Second physician must certify the exception","exceptions - S.C. Code § 44-41-450 ( Full Title: S.C. Code § 44-41-450. Abortion prohibited when probable post-fertilization age of unborn child is twenty or more weeks; exceptions), hospital - S.C. Code. Ann. Regs. 61-12.302 ( Full Title: S.C. Code. Ann. Regs. 61-12.302. Limitation of Services Offered by Abortion Clinics (II)), legal abortions - S.C. Code. § 44-41-20 ( Full Title: S.C. Code. § 44-41-20. Legal Abortions)",Abortions occurring during the third trimester must  have a second physician certify the exception. S.C. Code. § 44-41-20(c).,0,,,,,,1,partial-birth abortion ban - S.C. Code. § 44-41-85 ( Full Title: S.C. Code. § 44-41-85. Performance of partial-birth abortion by physician; felony; cause of action against physician),,Partial-birth abortions,partial-birth abortion ban - S.C. Code. § 44-41-85 ( Full Title: S.C. Code. § 44-41-85. Performance of partial-birth abortion by physician; felony; cause of action against physician),,"Life endangerment, Serious health risk",partial-birth abortion ban - S.C. Code. § 44-41-85 ( Full Title: S.C. Code. § 44-41-85. Performance of partial-birth abortion by physician; felony; cause of action against physician),Exception for serious health risk is for physical health only. S.C. Code. § 44-41-85(A).,0,,,0,,,0,,
South Dakota,7/1/2017,12/1/2018,1,"22 weeks - S.D. Codified Laws § 34-23 ( Full Title: S.D. Codified Laws § 34-23A-5. Abortion following twenty-second week of pregnancy.), partial-birth abortion - S.D. Codified Laws § 34-23 ( Full Title: S.D. Codified Laws § 34-23A-27. Partial-birth abortion prohibited--Violation a felony.)",,1,fetal pain ban - S.D. Codified Laws § 34-23 ( Full Title: S.D. Codified Laws § 34-23A-69. Abortion of unborn child capable of feeling pain prohibited--Felony--Exceptions.),,20 weeks postfertilization (22 weeks LMP),"fetal pain ban - S.D. Codified Laws § 34-23 ( Full Title: S.D. Codified Laws § 34-23A-69. Abortion of unborn child capable of feeling pain prohibited--Felony--Exceptions.), 20 weeks - S.D. Codified Laws § 34-23 ( Full Title: S.D. Codified Laws § 34-23A-70. Time when unborn child capable of feeling pain--Diagnosis of post-fertilization age of unborn child.)","Additionally, an abortion may be performed following the twenty-second week of pregnancy by a physician only in a hospital authorized under § 34-23A-4 and only in the case of a medical emergency.  S.D. Codified Laws § 34-23A-5.","Life endangerment, Serious health risk",fetal pain ban - S.D. Codified Laws § 34-23 ( Full Title: S.D. Codified Laws § 34-23A-69. Abortion of unborn child capable of feeling pain prohibited--Felony--Exceptions.),,Must use a method most likely to result in fetal survival,method - S.D. Codified Laws § 34-23 ( Full Title: S.D. Codified Laws § 34-23A-72. Requirements when abortion of unborn child capable of feeling pain necessary due to medical emergency.),,1,sex-selective abortion - S.D. Codified Laws § 34-23 ( Full Title: S.D. Codified Laws § 34-23A-64. Sex-selective abortions prohibited--Felony.),,Sex,sex-selective abortion - S.D. Codified Laws § 34-23 ( Full Title: S.D. Codified Laws § 34-23A-64. Sex-selective abortions prohibited--Felony.),,1,partial-birth abortion - S.D. Codified Laws § 34-23 ( Full Title: S.D. Codified Laws § 34-23A-27. Partial-birth abortion prohibited--Violation a felony.),,Partial-birth abortions,partial-birth abortion - S.D. Codified Laws § 34-23 ( Full Title: S.D. Codified Laws § 34-23A-27. Partial-birth abortion prohibited--Violation a felony.),,Life endangerment,PBA exception - S.D. Codified Laws § 34-23 ( Full Title: S.D. Codified Laws § 34-23A-28. Application of partial-birth abortion prohibition.),,0,,,0,,,0,,
Tennessee,7/1/2017,12/1/2018,1,"PBA ban - Tenn. Code § 39-15-209 ( Full Title: Tenn. Code § 39-15-209. Partial-birth abortions; vaginal delivery of living fetus), viability ban - Tenn. Code § 39-15-211 ( Full Title: Tenn. Code § 39-15-211. Abortion of viable unborn child; penalties for violation; affirmative defenses; rebuttable presumption of viability; liability of pregnant woman), 20 week viability ban - Tenn. Code § 39-15-212 ( Full Title: Tenn. Code § 39-15-212. Abortion after the beginning of the twentieth week of pregnancy; viability determination; penalties for violation)",,1,20 week viability ban - Tenn. Code § 39-15-212 ( Full Title: Tenn. Code § 39-15-212. Abortion after the beginning of the twentieth week of pregnancy; viability determination; penalties for violation),,20 weeks postfertilization (22 weeks LMP),20 week viability ban - Tenn. Code § 39-15-212 ( Full Title: Tenn. Code § 39-15-212. Abortion after the beginning of the twentieth week of pregnancy; viability determination; penalties for violation),"Except in a medical emergency that prevents compliance with this subsection (a), no physician shall perform or induce, or attempt to perform or induce, an abortion upon a pregnant woman after the beginning of the twentieth week of pregnancy, as measured by gestational age, unless, prior to the performance or inducement of the abortion, or the attempt to perform or induce the abortion, the physician determines, in the physician's good faith medical judgment, that the unborn child is not viable. Tenn. Code § 39-15-212(a)Tennessee additionally bans abortions at viability, with a rebuttable presumption that an unborn child of at least twenty-four weeks gestational age is viable. Tenn. Code § 39-15-211","Life endangerment, Serious health risk","20 week viability ban - Tenn. Code § 39-15-212 ( Full Title: Tenn. Code § 39-15-212. Abortion after the beginning of the twentieth week of pregnancy; viability determination; penalties for violation), medical emergency - Tenn. Code § 39-15-211 ( Full Title: Tenn. Code § 39-15-211. Abortion of viable unborn child; penalties for violation; affirmative defenses; rebuttable presumption of viability; liability of pregnant woman), physical health - Tenn. Code § 39-15-211 ( Full Title: Tenn. Code § 39-15-211. Abortion of viable unborn child; penalties for violation; affirmative defenses; rebuttable presumption of viability; liability of pregnant woman)",The exception for serious health risk does not include mental health. Tenn. Code § 39-15-211(5),No requirements,,,0,,,,,,1,PBA ban - Tenn. Code § 39-15-209 ( Full Title: Tenn. Code § 39-15-209. Partial-birth abortions; vaginal delivery of living fetus),,Partial-birth abortions,PBA ban - Tenn. Code § 39-15-209 ( Full Title: Tenn. Code § 39-15-209. Partial-birth abortions; vaginal delivery of living fetus),,Life endangerment,PBA ban - Tenn. Code § 39-15-209 ( Full Title: Tenn. Code § 39-15-209. Partial-birth abortions; vaginal delivery of living fetus),,0,,,0,,,0,,
Texas,9/1/2017,12/1/2018,1,"20 weeks - Tex. Health & Safety Code § 171.044. Abortion of Unborn Child of 20 or ( Full Title: Tex. Health & Safety Code § 171.044. Abortion of Unborn Child of 20 or More Weeks Post-Fertilization Age Prohibited), PBA - Tex. Health & Safety Code § 171.102 ( Full Title: Tex. Health & Safety Code § 171.102. Partial-Birth Abortions Prohibited)",,1,20 weeks - Tex. Health & Safety Code § 171.044. Abortion of Unborn Child of 20 or ( Full Title: Tex. Health & Safety Code § 171.044. Abortion of Unborn Child of 20 or More Weeks Post-Fertilization Age Prohibited),,20 weeks postfertilization (22 weeks LMP),20 weeks - Tex. Health & Safety Code § 171.044. Abortion of Unborn Child of 20 or ( Full Title: Tex. Health & Safety Code § 171.044. Abortion of Unborn Child of 20 or More Weeks Post-Fertilization Age Prohibited),"Texas law also prohibits the performance of abortions on a viable fetus during the third trimester, unless the abortion is necessary to prevent the death or substantial risk of serious impairment to the health of the woman, or if the fetus has a severe and irreversible abnormality. Tex. Health & Safety Code § 170.002 (a)-(b).","Life endangerment, Serious health risk, Fetal anomaly",exceptions - Tex. Health & Safety Code § 171.046 ( Full Title: Tex. Health & Safety Code § 171.046. Exceptions),The exception for health is limited to physical health. Tex. Health & Safety Code § 171.044(a).,Must use a method most likely to result in fetal survival,method to survive - Tex. Health & Safety Code § 171.045 ( Full Title: Tex. Health & Safety Code § 171.045. Method of Abortion),,0,,,,,,1,"definition - Tex. Health & Safety Code § 171.151 ( Full Title: Tex. Health & Safety Code § 171.151. Definition), PBA - Tex. Health & Safety Code § 171.102 ( Full Title: Tex. Health & Safety Code § 171.102. Partial-Birth Abortions Prohibited), dismemberment - Tex. Health & Safety Code § 171.152 ( Full Title: Tex. Health & Safety Code § 171.152. Dismemberment Abortions Prohibited)",,"Partial-birth abortions, Dismemberment abortions","dismemberment - Tex. Health & Safety Code § 171.152 ( Full Title: Tex. Health & Safety Code § 171.152. Dismemberment Abortions Prohibited), definition - Tex. Health & Safety Code § 171.151 ( Full Title: Tex. Health & Safety Code § 171.151. Definition), PBA - Tex. Health & Safety Code § 171.102 ( Full Title: Tex. Health & Safety Code § 171.102. Partial-Birth Abortions Prohibited)",,"Life endangerment, Serious health risk","medical emergency - Tex. Health & Safety Code § 171.002 ( Full Title: Tex. Health & Safety Code § 171.002. Definitions), dismemberment - Tex. Health & Safety Code § 171.152 ( Full Title: Tex. Health & Safety Code § 171.152. Dismemberment Abortions Prohibited), PBA - Tex. Health & Safety Code § 171.102 ( Full Title: Tex. Health & Safety Code § 171.102. Partial-Birth Abortions Prohibited)",The exception for serious health risk does not apply to partial-birth abortions. Tex. Health & Safety Code § 171.102,1,"case law - Whole Woman's Health v. Paxton, 264 F. Supp. 3d 813 ( ( Full Title: Whole Woman's Health v. Paxton, 264 F. Supp. 3d 813 (W.D. Tex. 2017))",,1,"case law - Whole Woman's Health v. Paxton, 264 F. Supp. 3d 813 ( ( Full Title: Whole Woman's Health v. Paxton, 264 F. Supp. 3d 813 (W.D. Tex. 2017))","Texas statute banning and criminalizing performance of an abortion procedure commonly known as dilation and evacuation procedure (standard D&E) before fetal demise was held unconstitutional in Whole Woman's Health v. Paxton, 264 F. Supp. 3d 813 (W.D. Tex. 2017)",0,,
Utah,5/8/2018,12/1/2018,1,"viability ban - Utah Code § 76-7-302 ( Full Title: Utah Code § 76-7-302. Circumstances under which abortion authorized), PBA ban - Utah Code § 76-7-326 ( Full Title: Utah Code § 76-7-326. Partial birth abortions prohibited)",,1,viability ban - Utah Code § 76-7-302 ( Full Title: Utah Code § 76-7-302. Circumstances under which abortion authorized),,Viability,viability ban - Utah Code § 76-7-302 ( Full Title: Utah Code § 76-7-302. Circumstances under which abortion authorized),,"Life endangerment, Serious health risk, Fetal anomaly, Rape, Incest",viability ban - Utah Code § 76-7-302 ( Full Title: Utah Code § 76-7-302. Circumstances under which abortion authorized),The exception for fetal anomaly applies to lethal fetal anomaly only. Utah Code § 76-7-302,Second physician must certify the exception,viability ban - Utah Code § 76-7-302 ( Full Title: Utah Code § 76-7-302. Circumstances under which abortion authorized),,0,,,,,,1,"PBA ban - Utah Code § 76-7-326 ( Full Title: Utah Code § 76-7-326. Partial birth abortions prohibited), saline ban - Utah Code § 76-7-310.5 ( Full Title: Utah Code § 76-7-310.5. Prohibition of specified abortion procedures--Viability defined)",,"Partial-birth abortions, Saline method abortions","saline ban - Utah Code § 76-7-310.5 ( Full Title: Utah Code § 76-7-310.5. Prohibition of specified abortion procedures--Viability defined), PBA ban - Utah Code § 76-7-326 ( Full Title: Utah Code § 76-7-326. Partial birth abortions prohibited)",,"Life endangerment, Serious health risk","medical emergency exception - Utah Code § 76-7-315 ( Full Title: Utah Code § 76-7-315. Exceptions to certain requirements in serious medical emergencies), PBA ban - Utah Code § 76-7-326 ( Full Title: Utah Code § 76-7-326. Partial birth abortions prohibited), medical emergency - Utah Code § 76-7-301 ( Full Title: Utah Code § 76-7-301. Definitions)",The exception for serious health risk does not apply to partial-birth abortions.,0,,,0,,,0,,
Vermont,12/1/2018,12/1/2018,0,,,0,,,,,,,,,,,,0,,,,,,0,,,,,,,,,0,,,0,,,0,,
